title,language,country,id,year,first _author_last_name,first _author_first_name,first _author_initials,last _author_last_name,last _author_first_name,last _author_initials,id,abstract
The requirement for potent adjuvants to enhance the immunogenicity and protective efficacy of protein vaccines can be overcome by prior immunization with a recombinant adenovirus.,eng,United Kingdom,jimmunol.1101004,2011,de Cassan,Simone C,SC,Draper,Simon J,SJ,jimmunol.1101004,"A central goal in vaccinology is the induction of high and sustained Ab responses. Protein-in-adjuvant formulations are commonly used to achieve such responses. However, their clinical development can be limited by the reactogenicity of some of the most potent preclinical adjuvants and the cost and complexity of licensing new adjuvants for human use. Also, few adjuvants induce strong cellular immunity, which is important for protection against many diseases, such as malaria. We compared classical adjuvants such as aluminum hydroxide to new preclinical adjuvants and adjuvants in clinical development, such as Abisco 100, CoVaccine HT, Montanide ISA720, and stable emulsion-glucopyranosyl lipid A, for their ability to induce high and sustained Ab responses and T cell responses. These adjuvants induced a broad range of Ab responses when used in a three-shot protein-in-adjuvant regimen using the model Ag OVA and leading blood-stage malaria vaccine candidate Ags. Surprisingly, this range of Ab immunogenicity was greatly reduced when a protein-in-adjuvant vaccine was used to boost Ab responses primed by a human adenovirus serotype 5 vaccine recombinant for the same Ag. This human adenovirus serotype 5-protein regimen also induced a more cytophilic Ab response and demonstrated improved efficacy of merozoite surface protein-1 protein vaccines against a Plasmodium yoelii blood-stage challenge. This indicates that the differential immunogenicity of protein vaccine adjuvants may be largely overcome by prior immunization with recombinant adenovirus, especially for adjuvants that are traditionally considered poorly immunogenic in the context of subunit vaccination and may circumvent the need for more potent chemical adjuvants."
Microneedle array design determines the induction of protective memory CD8+ T cell responses induced by a recombinant live malaria vaccine in mice.,eng,United Kingdom,10.1371/journal.pone.0022442,2011,Carey,John B,JB,Moore,Anne C,AC,10.1371/journal.pone.0022442,"BACKGROUND: Vaccine delivery into the skin has received renewed interest due to ease of access to the immune system and microvasculature, however the stratum corneum (SC), must be breached for successful vaccination. This has been achieved by removing the SC by abrasion or scarification or by delivering the vaccine intradermally (ID) with traditional needle-and-syringes or with long microneedle devices. Microneedle patch-based transdermal vaccine studies have predominantly focused on antibody induction by inactivated or subunit vaccines. Here, our principal aim is to determine if the design of a microneedle patch affects the CD8(+) T cell responses to a malaria antigen induced by a live vaccine.METHODOLOGY AND FINDINGS: Recombinant modified vaccinia virus Ankara (MVA) expressing a malaria antigen was percutaneously administered to mice using a range of silicon microneedle patches, termed ImmuPatch, that differed in microneedle height, density, patch area and total pore volume. We demonstrate that microneedle arrays that have small total pore volumes induce a significantly greater proportion of central memory T cells that vigorously expand to secondary immunization. Microneedle-mediated vaccine priming induced significantly greater T cell immunity post-boost and equivalent protection against malaria challenge compared to ID vaccination. Notably, unlike ID administration, ImmuPatch-mediated vaccination did not induce inflammatory responses at the site of immunization or in draining lymph nodes.SIGNIFICANCE: This study demonstrates that the design of microneedle patches significantly influences the magnitude and memory of vaccine-induced CD8(+) T cell responses and can be optimised for the induction of desired immune responses. Furthermore, ImmuPatch-mediated delivery may be of benefit to reducing unwanted vaccine reactogenicity. In addition to the advantages of low cost and lack of pain, the development of optimised microneedle array designs for the induction of T cell responses by live vaccines aids the development of solutions to current obstacles of immunization programmes."
"Barriers to immunization among children of migrant workers from Myanmar living in Tak province, Thailand.",eng,Switzerland,10.2471/BLT.10.084244,2011,Canavati,Sara,S,Nosten,François,F,10.2471/BLT.10.084244,"PROBLEM: Immunization is a cost-effective means of improving child survival but implementation of programmes in low- and middle-income countries is variable. Children of migrants are less likely to be immunized.APPROACH: The qualitative study aimed to identify barriers to the successful implementation of migrant immunization programmes in Tak province, Thailand. We ran a total of 53 focus groups involving 371 participants in three sites.LOCAL SETTING: Tak province in Thailand borders Myanmar and has an estimated 200,000 migrants from Myanmar. Vaccine-preventable diseases are a documented cause of morbidity in this population but there is no systematic or coordinated immunization programme in the area.RELEVANT CHANGES: As a result of the findings, the subsequent immunization campaign targeted children in school to overcome those barriers of distance to immunization services, fear of arrest, not remembering immunization appointments, and the disruption of parental work. The campaigns also included immunization education for both parents and teachers.LESSONS LEARNT: Migrant parents identified similar barriers to accessing childhood immunization programmes as migrant populations elsewhere in the world, although a unique barrier identified by parents from Myanmar was &quot;fear of arrest&quot;. The subsequent school-based strategy to overcome these barriers appears to be effective."
"Vaccine supply chains need to be better funded and strengthened, or lives will be at risk.",eng,United States,30/6/1113,2011,Kaufmann,Judith R,JR,Cheyne,James,J,30/6/1113,"In the next decade, at least twelve additional vaccines that target such diseases as typhoid, malaria, and dengue will become available to lower- and middle-income countries. These vaccines must travel along what are called supply chains, which include all personnel, systems, equipment, and activities involved in ensuring that vaccines are effectively delivered from the point of production to the people who need them. But for various reasons, supply chains are already strained in many developing countries, and the potential inability to distribute new vaccines will place lives at risk. Among the many steps needed to strengthen the global vaccine supply chain, we suggest that the international community pursue improved coordination between organizations that donate and ship vaccines and the host-country officials who receive and distribute the vaccines, as well as better training for supply-chain managers."
Producing a successful malaria vaccine: innovation in the lab and beyond.,eng,United States,30/6/1065,2011,Loucq,Christian,C,Ethelston,Sally,S,30/6/1065,"With approximately 225 million new cases and 800,000 deaths annually, malaria exacts a tremendous toll--mostly on African children under the age of five. Late-stage trials of an advanced malaria vaccine candidate--which, if approved, would become the world's first malaria vaccine--are under way, and it may be ready for use by 2015. This article recounts the pivotal roles in that achievement played by collaborations of nonprofit organizations, pharmaceutical companies, private and public donors, and countries whose citizens would benefit most directly from a vaccine. Just as it takes a village to raise a child, it has taken a huge number of stakeholders around the world to reach this point. Developing even more effective vaccines for malaria and other diseases will require continued hard work and creative thinking from scientists, regulators, and policy makers."
Vaccines as a global imperative--a business perspective.,eng,United States,30/6/1042,2011,Stéphenne,Jean,J,Stéphenne,Jean,J,30/6/1042,"During the past thirty years, vaccines have experienced a renaissance. Advances in science, business, and distribution have transformed the field to the point where vaccines are recognized as a &quot;best buy&quot; in global health, a driver of pharmaceutical industry growth, and a key instrument of international development. With many new vaccines available and others on the horizon, the global community will need to explore new ways of ensuring access to vaccines in developing nations. So-called tiered pricing, which makes vaccines available at different prices for countries at different levels of economic development; innovative financing mechanisms such as advance market commitments or offers of long-term and high-volume contracts to vaccine producers; and technology transfers such as sharing intellectual property and production techniques among companies and countries can all play a part in bringing new life-saving vaccines for pneumonia, rotavirus, malaria, and other diseases to developing countries."
Challenges and future perspective for dengue vector control in the Western Pacific Region.,eng,Philippines,10.5365/WPSAR.2010.1.1.012,2011,Chang,Moh Seng,MS,Diseases,Parasitic,P,10.5365/WPSAR.2010.1.1.012,"Dengue remains a significant public health issue in the Western Pacific Region. In the absence of a vaccine, vector control is the mainstay for dengue prevention and control. In this paper we describe vector surveillance and vector control in the Western Pacific countries and areas. Vector surveillance and control strategies used by countries and areas of the Western Pacific Region vary. Vector control strategies include chemical, biological and environmental management that mainly target larval breeding sites. The use of insecticides targeting larvae and adult mosquitoes remains the mainstay of vector control programmes. Existing vector control tools have several limitations in terms of cost, delivery and long-term sustainability. However, there are several new innovative tools in the pipeline. These include Release of Insects Carrying a Dominant Lethal system and Wolbachia, an endosymbiotic bacterium, to inhibit dengue virus in the vector. In addition, the use of biological control such as larvivorous fish in combination with community participation has potential to be scaled up. Any vector control strategy should be selected based on evidence and appropriateness for the entomological and epidemiological setting and carried out in both inter-epidemic and epidemic periods. Community participation and interagency collaboration are required for effective and sustainable dengue prevention and control. Countries and areas are now moving towards integrated vector management."
Improved detection of nasopharyngeal cocolonization by multiple pneumococcal serotypes by use of latex agglutination or molecular serotyping by microarray.,eng,United Kingdom,JCM.00157-11,2011,Turner,Paul,P,Goldblatt,David,D,JCM.00157-11,"Identification of Streptococcus pneumoniae in the nasopharynx is critical for an understanding of transmission, estimates of vaccine efficacy, and possible replacement disease. Conventional nasopharyngeal swab (NPS) culture and serotyping (the WHO protocol) is likely to underestimate multiple-serotype carriage. We compared the WHO protocol with methods aimed at improving cocolonization detection. One hundred twenty-five NPSs from an infant pneumococcal-carriage study, containing ≥ 1 serotype by WHO culture, were recultured in duplicate. A sweep of colonies from one plate culture was serotyped by latex agglutination. DNA extracted from the second plate was analyzed by S. pneumoniae molecular-serotyping microarray. Multiple serotypes were detected in 11.2% of the swabs by WHO culture, 43.2% by sweep serotyping, and 48.8% by microarray. Sweep and microarray were more likely to detect multiple serotypes than WHO culture (P &lt; 0.0001). Cocolonization detection rates were similar between microarray and sweep, but the microarray identified the greatest number of serotypes. A common serogroup type was identified in 95.2% of swabs by all methods. WHO methodology significantly underestimates multiple-serotype carriage compared to these alternate methods. Sweep serotyping is cost-effective and field deployable but may fail to detect serotypes at low abundance, whereas microarray serotyping is more costly and technology dependent but may detect these additional minor carried serotypes."
Configurational Entropy Reallocation and Complex Loop Dynamics of the Mosquito-Stage Pvs25 Protein Complexed with the Fab Fragment of the Malaria Transmission Blocking Antibody 2A8.,eng,United States,10.1021/ct100543c,2011,Stavrakoudis,Athanassios,A,Tsoulos,Ioannis G,IG,10.1021/ct100543c,"Pvs25 is a protein of unique 3D structure, and it is characterized by the presence of repeated EGF-like domains and 11 disulfide bonds. It is a very important candidate for the transmission-blocking malaria vaccine, as it plays an important role in mosquito infection by Plasmodium parasites. Recently, the X-ray structure of the protein complexed with the transmission blocking antibody 2A8 has been reported. In this study, we report the loop reorganization of the Pvs25 protein based on configurational entropy calculations and dihedral principal component analysis as revealed from the protein complex and free molecular dynamics simulations. While the total entropy of the protein was estimated to be almost the same in the free and complex trajectories, the partition of the entropy contribution in the loop fragments of the protein revealed interesting entropy reallocation after the 2A8 antibody binding. Interestingly, the 51-71 protein loop experienced a significant reduction in its configurational entropy, while other parts of the protein did not show any difference in it, or even showed an entropy increase. This trend in entropy redistribution was found to be in direct relationship with specific interactions with the antibody's binding site. Results from root-mean-square fluctuations/deviations and dihedral angle principal component analysis further support this finding."
EU-funded malaria research under the 6th and 7th Framework Programmes for research and technological development.,eng,England,1475-2875-10-11,2011,Holtel,Andreas,A,Penas-Jimenez,Inmaculada,I,1475-2875-10-11,"While malaria research has traditionally been strong in Europe, targeted and sustained support for cooperative malaria research at EU level, namely through the EU's 6th and 7th Framework Programmes for research and technological development, FP6 (2002-2006) and FP7 (2007-2013), has boosted both impact and visibility of European malaria research. Most of the European malaria research community is now organized under a number of comprehensive and complementary research networks and projects, assembled around four key areas: (1) fundamental research on the malaria parasite and the disease, (2) development of new malaria drugs, (3) research and development of a malaria vaccine, and (4) research to control the malaria-transmitting mosquito vector. Considerable efforts were undertaken to ensure adequate participation of research groups from disease-endemic countries, in particular from Africa, with the long-term aim to strengthen cooperative links and research capacities in these countries. The concept of organizing European research through major strategic projects to form a &quot;European Research Area&quot; (ERA) was originally developed in the preparation of FP6, and ERA formation has now turned into a major EU policy objective explicitly inscribed into the Lisbon Treaty. EU-funded malaria research may serve as a showcase to demonstrate how ERA formation can successfully be implemented in a given area of science when several surrounding parameters converge to support implementation of this strategic concept: timely coincidence of political stimuli, responsive programming, a clearly defined--and well confined--area of research, and the readiness of the targeted research community who is well familiar with transnational cooperation at EU level. Major EU-funded malaria projects have evolved into thematic and organizational platforms that can collaborate with other global players. Europe may thus contribute more, and better, to addressing the global research agenda for malaria."
Malaria vaccines: looking back and lessons learnt.,eng,China,10.1016/S2221-1691(11)60072-5,2011,Lorenz,Veronique,V,Karanis,Panagiotis,P,10.1016/S2221-1691(11)60072-5,"The current status of malaria vaccine approaches has the background of a long and arduous path of malaria disease control and vaccine development. Here, we critically review with regard to unilateral interventional approaches and highlight the impact of socioeconomic elements of malaria endemicity. The necessity of re-energizing basic research of malaria life-cycle and Plasmodium developmental biology to provide the basis for promising and cost-effective vaccine approaches and to reach eradication goals is more urgent than previously believed. We closely analyse the flaws of various vaccine approaches, outline future directions and challenges that still face us and conclude that the focus of the field must be shifted to the basic research efforts including findings on the skin stage of infection. We also reflect on economic factors of vaccine development and the impact of public perception when it comes to vaccine uptake."
Malaria Policy Advisory Committee to the WHO: conclusions and recommendations of September 2012 meeting.,eng,England,1475-2875-11-424,2012,NA,NA,NA,NA,NA,NA,1475-2875-11-424,"The Malaria Policy Advisory Committee to the World Health Organization met in Geneva, Switzerland from 11 to 13 September, 2012. This article provides a summary of the discussions, conclusions and recommendations from that meeting.Meeting sessions included: updated policy recommendations on the use of sulphadoxine-pyrimethamine for Intermittent Preventive Treatment of malaria in pregnancy, as well as the use of single dose primaquine as a Plasmodium falciparum gametocytocide; the need to develop a Global Technical Strategy for Malaria Control and Elimination 2016- 2025 and a global strategy for control of Plasmodium vivax; the Affordable Medicines Facility for malaria independent evaluation and promoting malaria case management in the private sector; updates from the Technical Expert Group on drug resistance and containment and the Evidence Review Group on malaria burden estimation; update on the RTS,S/AS01 malaria vaccine; progress on the policy setting process for malaria vector control; and the process for updating the WHO Guidelines for the Treatment of Malaria.Policy statements, position statements, and guidelines that arise from the MPAC meeting conclusions and recommendations will be formally issued and disseminated to World Health Organization Member States by the World Health Organization Global Malaria Programme."
Decision-making on malaria vaccine introduction: the role of cost-effectiveness analyses.,eng,Switzerland,10.2471/BLT.12.107482,2012,Moorthy,Vasee S,VS,Hombach,Joachim,J,10.2471/BLT.12.107482,
Malaria vaccine results present infant immunization quandary.,eng,United States,nm1212-1723,2012,Willyard,Cassandra,C,Willyard,Cassandra,C,nm1212-1723,
Iron oxide nanoparticles as a clinically acceptable delivery platform for a recombinant blood-stage human malaria vaccine.,eng,United States,fj.12-218362,2012,Pusic,Kae,K,Hui,George,G,fj.12-218362,"This study explored the novel use of iron oxide (IO) nanoparticles (&lt;20 nm) as a vaccine delivery platform without additional adjuvants. A recombinant malaria vaccine antigen, the merozoite surface protein 1 (rMSP1), was conjugated to IO nanoparticles (rMSP1-IO). Immunizations in outbred mice with rMSP1-IO achieved 100% responsiveness with antibody titers comparable to those obtained with rMSP1 formulated with a clinically acceptable adjuvant, Montanide ISA51 (2.7×10 vs. 1.6×10; respectively). Only rMSP1-1O could induce significant levels (80%) of parasite inhibitory antibodies. The rMSP1-IO was highly stable at 4°C and was amenable to lyophilization, maintaining its antigenicity, immunogenicity, and ability to induce inhibitory antibodies. Further testing in nonhuman primates, Aotus monkeys, also elicited 100% immune responsiveness and high levels of parasite inhibitory antibodies (55-100% inhibition). No apparent local or systemic toxicity was associated with IO immunizations. Murine macrophages and dendritic cells efficiently (&gt;90%) internalized IO nanoparticles, but only the latter were significantly activated, with elevated expression/secretion of CD86, cytokines (IL-6, TNF-α, IL1-b, IFN-γ, and IL-12), and chemokines (CXCL1, CXCL2, CCL2, CCL3, CCL4, and CXCL10). Thus, the IO nanoparticles is a novel, safe, and effective vaccine platform, with built-in adjuvancy, that is highly stable and field deployable for cost-effective vaccine delivery."
Advances in the treatment of malaria.,eng,Italy,10.4084/MJHID.2012.064,2012,Castelli,Francesco,F,Matteelli,Alberto,A,10.4084/MJHID.2012.064,"Malaria still claims a heavy toll of deaths and disabilities even at the beginning of the third millennium. The inappropriate sequential use of drug monotherapy in the past has facilitated the spread of drug-resistant P. falciparum, and to a lesser extend P. vivax, strains in most of the malaria endemic areas, rendering most anti-malarial ineffective. In the last decade, a new combination strategy based on artemisinin derivatives (ACT) has become the standard of treatment for most P. falciparum malaria infections. This strategy could prevent the selection of resistant strains by rapidly decreasing the parasitic burden (by the artemisinin derivative, mostly artesunate) and exposing the residual parasite to effective concentrations of the partner drug. The widespread use of this strategy is somehow constrained by cost and by the inappropriate use of artemisinin, with possible impact on resistance, as already sporadically observed in South East Asia. Parenteral artesunate has now become the standard of care for severe malaria, even if quinine still retains its value in case artesunate is not immediately available. The appropriateness of pre-referral use of suppository artesunate is under close monitoring, while waiting for an effective anti-malarial vaccine to be made available."
Mesenchymal stem cells as a novel vaccine platform.,eng,Switzerland,10.3389/fcimb.2012.00140,2012,Tomchuck,Suzanne L,SL,Clements,John D,JD,10.3389/fcimb.2012.00140,"Vaccines are the most efficient and cost-effective means of preventing infectious disease. However, traditional vaccine approaches have thus far failed to provide protection against human immunodeficiency virus (HIV), tuberculosis, malaria, and many other diseases. New approaches to vaccine development are needed to address some of these intractable problems. In this report, we review the literature identifying stimulatory effects of mesenchymal stem cells (MSC) on immune responses and explore the potential for MSC as a novel, universal vaccination platform. MSC are unique bone marrow-derived multipotent progenitor cells that are presently being exploited as gene therapy vectors for a variety of conditions, including cancer and autoimmune diseases. Although MSC are predominantly known for anti-inflammatory properties during allogeneic MSC transplant, there is evidence that MSC can actually promote adaptive immunity under certain settings. MSC have also demonstrated some success in anti-cancer therapeutic vaccines and anti-microbial prophylactic vaccines, as we report, for the first time, the ability of modified MSC to express and secrete a viral antigen that stimulates antigen-specific antibody production in vivo. We hypothesize that the unique properties of modified MSC may enable MSC to serve as an unconventional but innovative, vaccine platform. Such a platform would be capable of expressing hundreds of proteins, thereby generating a broad array of epitopes with correct post-translational processing, mimicking natural infection. By stimulating immunity to a combination of epitopes, it may be possible to develop prophylactic and even therapeutic vaccines to tackle major health problems including those of non-microbial and microbial origin, including cancer, or an infectious disease like HIV, where traditional vaccination approaches have failed."
Comparative cost models of a liquid nitrogen vapor phase (LNVP) cold chain-distributed cryopreserved malaria vaccine vs. a conventional vaccine.,eng,United States,S0264-410X(12)01584-8,2012,Garcia,Cristina Reyes,CR,James,Eric R,ER,S0264-410X(12)01584-8,"Typically, vaccines distributed through the Expanded Program on Immunization (EPI) use a 2-8°C cold chain with 4-5 stops. The PfSPZ Vaccine comprises whole live-attenuated cryopreserved sporozoites stored in liquid nitrogen (LN(2)) vapor phase (LNVP) below -140°C and would be distributed through a LNVP cold chain. The purpose of this study was to model LNVP cold chain distribution for the cryopreserved PfSPZ Vaccine in Tanzania, estimate the costs and compare these costs to those that would be incurred in distributing a 'conventional' malaria vaccine through the EPI. Capital and recurrent costs for storage, transportation, labor, energy usage and facilities were determined for the birth cohort in Tanzania over five years. Costs were calculated using WHO/UNESCO calculators. These were applied to a 2-8°C distribution model with national, regional, district, and health facility levels, and for the cryopreserved vaccine using a 'modified hub-and-spoke' (MH-S) LNVP distribution system comprising a central national store, peripheral health facilities and an intermediate district-level transhipment stop. Estimated costs per fully immunized child (FIC) were $ 6.11 for the LNVP-distributed cryopreserved vaccine where the LN(2) is generated, and $ 6.04 with purchased LN(2) (assuming US $ 1.00/L). The FIC costs for distributing a conventional vaccine using the four level 2-8°C cold chain were $ 6.10, and with a tariff distribution system as occurs in Tanzania the FIC cost was $ 5.53. The models, therefore, predicted little difference in 5-year distribution costs between the PfSPZ Vaccine distributed through a MH-S LNVP cold chain and a conventional vaccine distributed through the more traditional EPI system. A LNVP cold chain provides additional benefits through the use of durable dry shippers because no refrigerators, freezers or refrigerated trucks are required. Thus strain at the cold chain periphery, vaccine wastage from cold chain failures and the environmental impact of distribution would all be reduced."
Edible vaccine: a new platform for the development of malaria vaccine.,eng,United States,"32f018b6385e752a,5ba8ee4202ff0669",2012,Kumar,Choudhary Sudheer,CS,Archana,Tiwari,T,"32f018b6385e752a,5ba8ee4202ff0669","The plasmodium vivax is the most prevalent malaria parasite. The world essentially needs a malaria vaccine to alleviate the human suffering associated with the parasitic disease that kills more than one million people annually. The use of plants for the expression of the proteins of disease-causing vehicle in transgenic plants has been increasingly used in the development of experimental vaccines, largely oriented to the improvement of edible vaccines. Currently, through modern biotechnology, there has been a revival in obtaining a new edible vaccine against the malaria parasite from plant sources. Through genetic alteration, it is now recognized that plants are potentially a new source of recombinant proteins including vaccines, antibodies, blood substitutes, and other therapeutic entities. Plant-derived antibodies and other proteins are mostly valuable since they are free of mammalian viral vectors and human pathogens. Although significant progress has been achieved in the research for edible vaccine in Plasmodium falciparum, limited progress has been made in the Plasmodium vivax component that might be eligible for edible vaccine development. We describe the overall strategy recommended by plants, which include high biomass production and low cost of cultivation, relatively fast &quot;gene to protein&quot; time, low capital and operating costs, outstanding scalability, eukaryotic posttranslational modifications, and a relatively high protein yield."
Innovative financing for health: what is truly innovative?,eng,England,S0140-6736(12)61460-3,2012,Atun,Rifat,R,Frenk,Julio,J,S0140-6736(12)61460-3,"Development assistance for health has increased every year between 2000 and 2010, particularly for HIV/AIDS, tuberculosis, and malaria, to reach US$26·66 billion in 2010. The continued global economic crisis means that increased external financing from traditional donors is unlikely in the near term. Hence, new funding has to be sought from innovative financing sources to sustain the gains made in global health, to achieve the health Millennium Development Goals, and to address the emerging burden from non-communicable diseases. We use the value chain approach to conceptualise innovative financing. With this framework, we identify three integrated innovative financing mechanisms-GAVI, Global Fund, and UNITAID-that have reached a global scale. These three financing mechanisms have innovated along each step of the innovative finance value chain-namely resource mobilisation, pooling, channelling, resource allocation, and implementation-and integrated these steps to channel large amounts of funding rapidly to low-income and middle-income countries to address HIV/AIDS, malaria, tuberculosis, and vaccine-preventable diseases. However, resources mobilised from international innovative financing sources are relatively modest compared with donor assistance from traditional sources. Instead, the real innovation has been establishment of new organisational forms as integrated financing mechanisms that link elements of the financing value chain to more effectively and efficiently mobilise, pool, allocate, and channel financial resources to low-income and middle-income countries and to create incentives to improve implementation and performance of national programmes. These mechanisms provide platforms for health funding in the future, especially as efforts to grow innovative financing have faltered. The lessons learnt from these mechanisms can be used to develop and expand innovative financing from international sources to address health needs in low-income and middle-income countries."
"Oral delivery of human biopharmaceuticals, autoantigens and vaccine antigens bioencapsulated in plant cells.",eng,United States,S0169-409X(12)00323-7,2012,Kwon,Kwang-Chul,KC,Daniell,Henry,H,S0169-409X(12)00323-7,"Among 12billion injections administered annually, unsafe delivery leads to &gt;20million infections and &gt;100million reactions. In an emerging new concept, freeze-dried plant cells (lettuce) expressing vaccine antigens/biopharmaceuticals are protected in the stomach from acids/enzymes but are released to the immune or blood circulatory system when plant cell walls are digested by microbes that colonize the gut. Vaccine antigens bioencapsulated in plant cells upon oral delivery after priming, conferred both mucosal and systemic immunity and protection against bacterial, viral or protozoan pathogens or toxin challenge. Oral delivery of autoantigens was effective against complications of type 1 diabetes and hemophilia, by developing tolerance. Oral delivery of proinsulin or exendin-4 expressed in plant cells regulated blood glucose levels similar to injections. Therefore, this new platform offers a low cost alternative to deliver different therapeutic proteins to combat infectious or inherited diseases by eliminating inactivated pathogens, expensive purification, cold storage/transportation and sterile injections."
Steps toward a globally available malaria vaccine: harnessing the potential of algae for future low cost vaccines.,eng,United States,23090388,2012,Jones,Carla S,CS,Mayfield,Stephen P,SP,23090388,"Malaria is an infectious disease that threatens half of the world's population. This debilitating disease is caused by infection from parasites of the genus Plasmodium. Insecticides, bed nets and drug therapies have lowered the prevalence and death rate associated with malaria but this disease continues to plague many populations around the world. In recent years, many organizations have suggested developing methods for a complete eradication of malaria. The most straightforward and effective method for this potential eradication will be through the development of a low-cost vaccine. To achieve eradication, it will be necessary to develop new vaccine candidates and novel systems for both the production and delivery of these vaccines. Recently, the green algae Chlamydomonas reinhardtii has been used for the recombinant expression of malaria vaccine candidates including the transmission blocking vaccine candidate Pfs48/45. Here, we discuss the potential of this research on the future development of a low-cost malaria vaccine candidate."
Profile: the KEMRI/CDC Health and Demographic Surveillance System--Western Kenya.,eng,United Kingdom,dys108,2012,Odhiambo,Frank O,FO,Vulule,John M,JM,dys108,"The KEMRI/Centers for Disease Control and Prevention (CDC) Health and Demographic Surveillance System (HDSS) is located in Rarieda, Siaya and Gem Districts (Siaya County), lying northeast of Lake Victoria in Nyanza Province, western Kenya. The KEMRI/CDC HDSS, with approximately 220 000 inhabitants, has been the foundation for a variety of studies, including evaluations of insecticide-treated bed nets, burden of diarrhoeal disease and tuberculosis, malaria parasitaemia and anaemia, treatment strategies and immunological correlates of malaria infection, and numerous HIV, tuberculosis, malaria and diarrhoeal disease treatment and vaccine efficacy and effectiveness trials for more than a decade. Current studies include operations research to measure the uptake and effectiveness of the programmatic implementation of integrated malaria control strategies, HIV services, newly introduced vaccines and clinical trials. The HDSS provides general demographic and health information (such as population age structure and density, fertility rates, birth and death rates, in- and out-migrations, patterns of health care access and utilization and the local economics of health care) as well as disease- or intervention-specific information. The HDSS also collects verbal autopsy information on all deaths. Studies take advantage of the sampling frame inherent in the HDSS, whether at individual, household/compound or neighbourhood level."
"Optimal control of chikungunya disease: larvae reduction, treatment and prevention.",eng,United States,22901069,2012,Moulay,Djamila,D,Kwon,Hee-Dae,HD,22901069,"Since the 1980s, there has been a worldwide re-emergence of vector-borne diseases including Malaria, Dengue, Yellow fever or, more recently, chikungunya. These viruses are arthropod-borne viruses (arboviruses) transmitted by arthropods like mosquitoes of Aedes genus. The nature of these arboviruses is complex since it conjugates human, environmental, biological and geographical factors. Recent researchs have suggested, in particular during the Reunion Island epidemic in 2006, that the transmission by Aedes albopictus (an Aedes genus specie) has been facilitated by genetic mutations of the virus and the vector capacity to adapt to non tropical regions. In this paper we formulate an optimal control problem, based on biological observations. Three main efforts are considered in order to limit the virus transmission. Indeed, there is no vaccine nor specific treatment against chikungunya, that is why the main measures to limit the impact of such epidemic have to be considered. Therefore, we look at time dependent breeding sites destruction, prevention and treatment efforts, for which optimal control theory is applied. Using analytical and numerical techniques, it is shown that there exist cost effective control efforts."
Pneumococcal conjugate vaccine: a newer vaccine available in India.,eng,United States,20654,2012,Verma,Ramesh,R,Khanna,Pardeep,P,20654,"Streptococcus pneumoniae, or &quot;pneumococcus,&quot; causes pneumonia and infections of the brain and blood that are responsible for significant mortality in children under five years as well as in the elderly. Pneumococcal diseases are a major public health problem worldwide. S. pneumoniae is responsible for 15-50% of all episodes of community-acquired pneumonia, 30-50% of all cases of acute otitis media, and a significant proportion of bacterial meningitis and bacteremia. S. pneumoniae kills at least one million children under the age of five every year, which is more than malaria, AIDS and measles combined. More than 70% of the deaths are in developing countries. In 2007, pneumococcal pneumonia was the leading infectious killer of children worldwide. Perhaps more importantly, pneumonia remains the leading killer of children in India. A recent UNICEF publication estimated that 410,000 children under age 5 y die of pneumonia each year in India, and recent data shows that an estimated 25% of all child deaths in India are due to pneumonia. The fact that this high burden of pneumonia has remained undiminished in India in spite of economic growth and decline in child mortality due to other diseases is a reminder of the importance of tackling pneumonia head-on with dedicated resources. The burden of pneumococcal meningitis, which constitutes about half of all childhood meningitis cases in most settings and a greater proportion of meningitis deaths, makes it difficult to avoid the conclusion that the pneumococcus is responsible for 1 million child deaths each year. Global Alliance for Vaccine and Immunization (GAVI) has offered to supply PCV at a cost of 0.15-0.30 USD/dose to India for inclusion in the national immunization schedule and commits to extending this support until the year 2015. Pneumococcal vaccination in not recommended in children aged 5 and above."
Modeling the economic value of a Chagas' disease therapeutic vaccine.,eng,United States,20966,2012,Lee,Bruce Y,BY,Hotez,Peter J,PJ,20966,"The health burden of Chagas' disease (resulting from Trypanosoma cruzi infection) in Latin America (estimated to outweigh that of malaria by 5-fold and affect 2-6 million people in Mexico alone) has motivated development of therapeutic vaccines to prevent infection progression to severe disease. Our economic model for a Chagas' therapeutic vaccine in Mexico suggests that a vaccine would be highly cost-effective and in many cases economically dominant (providing both cost savings and health benefits) throughout a range of protection durations, severe adverse event risk, and dosing regimens and would be most likely to provide a positive return on investment if the vaccine prevented (rather than delayed) the onset of cardiomyopathy."
Development of a new platform for neglected tropical disease surveillance.,eng,England,S0020-7519(12)00170-1,2012,Lammie,Patrick J,PJ,Priest,Jeffrey W,JW,S0020-7519(12)00170-1,"An expanded global focus on the control and elimination of neglected tropical diseases (NTDs) has called attention to the need to develop and validate surveillance strategies that are cost effective and can be integrated across diseases. Here, we describe a multiplex tool for the sensitive detection of antibody responses to NTDs as well as vaccine preventable diseases, malaria, and waterborne and zoonotic infections. The assay platform is robust, can be performed with either serum or dried blood spots and can be adapted to local epidemiological conditions and public health priorities. Multiplex assays open the door to conducting routine serosurveillance for NTDs through demographic health surveillance or malaria indicator surveys."
