"","title","language","country","id","year","month","day","affiliation","first _author_last_name","first _author_first_name","first _author_initials","last _author_last_name","last _author_first_name","last _author_initials","all_authors","abstract","url"
"214","Re-evaluating the burden of rabies in Africa and Asia.","eng","Switzerland","S0042-96862005000500012",2005,6,25,"Centre for Tropical Veterinary Medicine, Royal (Dick) School of Veterinary Studies, University of Edinburgh, Easter Bush, Roslin, Midlothian EH25 9RG, Scotland. d.l.knobel@sms.ed.ac.uk","Knobel","Darryn L","DL","Meslin","François-Xavier","FX","Darryn L Knobel, Sarah Cleaveland, Paul G Coleman, Eric M Fèvre, Martin I Meltzer, M Elizabeth G Miranda, Alexandra Shaw, Jakob Zinsstag, François-Xavier Meslin","OBJECTIVE: To quantify the public health and economic burden of endemic canine rabies in Africa and Asia.METHODS: Data from these regions were applied to a set of linked epidemiological and economic models. The human population at risk from endemic canine rabies was predicted using data on dog density, and human rabies deaths were estimated using a series of probability steps to determine the likelihood of clinical rabies developing in a person after being bitten by a dog suspected of having rabies. Model outputs on mortality and morbidity associated with rabies were used to calculate an improved disability-adjusted life year (DALY) score for the disease. The total societal cost incurred by the disease is presented.FINDINGS: Human mortality from endemic canine rabies was estimated to be 55 000 deaths per year (90% confidence interval (CI) = 24 000-93 000). Deaths due to rabies are responsible for 1.74 million DALYs lost each year (90% CI = 0.75-2.93). An additional 0.04 million DALYs are lost through morbidity and mortality following side-effects of nerve-tissue vaccines. The estimated annual cost of rabies is USD 583.5 million (90% CI = USD 540.1-626.3 million). Patient-borne costs for post-exposure treatment form the bulk of expenditure, accounting for nearly half the total costs of rabies.CONCLUSION: Rabies remains an important yet neglected disease in Africa and Asia. Disparities in the affordability and accessibility of post-exposure treatment and risks of exposure to rabid dogs result in a skewed distribution of the disease burden across society, with the major impact falling on those living in poor rural communities, in particular children.","http://www.ncbi.nlm.nih.gov/pubmed/?term=S0042-96862005000500012"
"215","Tetanus in Nigeria: the economic burden.","eng","England","10.1258/0049475054036878",2005,6,23,NA,"George","A O","AO","Kumuyi","O","O","A O George, A O Ogunbiyi, S Amanor-Boadu, O A Oluwole, O Kumuyi","","http://www.ncbi.nlm.nih.gov/pubmed/?term=10.1258/0049475054036878"
"216","Sero-prevalence of hepatitis B virus among middle to high socio-economic antenatal population in Sierra Leone.","eng","Nigeria","15909704",2005,5,25,"Ramsy Medical Laboratories, 11 Charlotte Street, P O. Box 491, Freetown Sierra Leone. ramsy@sierratel.sl","Wurie","I M","IM","Gevao","S M","SM","I M Wurie, A T Wurie, S M Gevao","This study was designed in order to find out the prevalence of HBV markers amongst pregnant women of middle and high socio-economic class in Sierra Leone. The aim was to determine the necessity and likely benefits of a scheme aimed at the vaccination of children of seropositive mothers who can afford the cost until mass immunisation is possible. A total of 302 women were studied. The seroprevalence rate formed in this study population was 6.2%. The proposed intervention would markedly reduce the HBV status in Sierra Leone, taking into account the high prevalent rate amongst this group. The low anti-HBs found in this population was suprisingly (5.1%); considering the high degree of antigenemia, this should be a subject for future research.","http://www.ncbi.nlm.nih.gov/pubmed/?term=15909704"
"217","[Newcastle disease in southern Chad: peak epidemic periods and the impact of vaccination].","fre","France","15861872",2005,5,3,"Laboratoire de recherches vétérinaires et zootechniques de Farcha, N'Djamena, Tchad.","Maho","A","A","Ganda Kana","S","S","A Maho, N Ndeledje Gondje, L Y Mopate, S Ganda Kana","In spite of its universally acknowledged importance, backyard chicken production is still being hampered by Newcastle disease in some parts of the world. In Chad, the disease has been reported almost everywhere in the country and confirmed in several regions, but there are no control measures in place. A survey was conducted at three sites in south-eastern Chad in July and August 2001, based on face-to-face interviews with 20% of the peasant farmers keeping chickens at these sites. The aim was to collect information on peak epidemic periods and on ways in which the infection spreads. The survey revealed that the peak epidemic periods for Newcastle disease are April, during the mango harvesting and selling period, and December, when trade increases for the seasonal festivities. The survey also showed that peasant farmers attach great importance to chicken farming. The survey was followed by a vaccination trial in November 2001 and February 2002, using the La Sota strain administered ocularly. All of the birds vaccinated during the trial were successfully protected from the disease and both chicken production and the income of the villagers increased. The authors conclude that in order to sustain poultry farming and maximise production in the southern zone, vaccination programmes must be urgently introduced, campaigns to raise awareness of Newcastle disease should be carried out and financial support to pay for vaccines should be provided. Efforts to combat other causes of poultry mortality must also be undertaken.","http://www.ncbi.nlm.nih.gov/pubmed/?term=15861872"
"218","Ex-ante economic analysis of animal disease surveillance.","eng","France","15861869",2005,5,3,"African Union-Inter-African Bureau of Animal Resources-Pan African Programme for the Control of Epizootics, Nairobi, Kenya.","Tambi","E N","EN","Mariner","J C","JC","E N Tambi, O W Maina, J C Mariner","This paper provides an ex-ante economic analysis comparing four alternative intervention strategies for the control and eradication of rinderpest against a scenario of no intervention in a cattle population similar in size to that of Ethiopia. The interventions were three different coverage levels of mass vaccination and one surveillance-based programme where vaccination targeted infected sub-populations. For each scenario, the disease impact was estimated using an open-population, state-transition SEIR ('susceptible', 'exposed', 'infectious', 'recovered') disease transmission model with parameter estimates developed for lineage 1 rinderpest virus. Projected economic surplus gains and costs estimated from the rinderpest eradication programme in Ethiopia were analysed using benefit-cost methods. Social net present values (NPVs) and benefit-cost ratios (BCRs) were calculated. Although the economic model found that BCRs were greater than one for all interventions examined, the scenarios of intensive mass vaccination (75% vaccination coverage) and surveillance with targeted vaccination were economically preferable. The BCRs for these strategies were 5.08 and 3.68, respectively. Sensitivity analysis revealed that an increase in market prices for beef and milk increased the value of economic loss, the economic surplus and returns to investments in terms of NPVs and BCRs. An increase in demand and supply elasticities for beef and milk decreased the value of economic losses. This also had a negative effect on economic surplus and NPVs. The effect of an increase in the discount rate reduced returns to investments, with lower NPVs and BCRs. The authors note that 75% mass vaccination coverage was attempted in Ethiopia in the early 1990s, but failed to eradicate rinderpest because the approach was logistically too difficult to implement in practice. Subsequently, an effective surveillance and epidemiologically targeted vaccination programme was developed and has apparently resulted in the eradication of rinderpest from Ethiopia (the last case was recorded in 1996). The authors conclude that epidemio-surveillance with targeted vaccination is both an economically viable and realistic strategy and offers benefits that extend beyond rinderpest eradication.","http://www.ncbi.nlm.nih.gov/pubmed/?term=15861869"
"219","Review of the cost effectiveness of immunisation strategies for the control of epidemic meningococcal meningitis.","eng","New Zealand","2344",2005,4,28,"Division on International Epidemiology and Population Studies, Fogarty Internatonal Center, National Institutes of Health, Building 16, 16 Center Drive, Bethesda, MD 20892-6705, USA. millermark@nih.gov","Miller","Mark A","MA","Shahab","Cathryn K","CK","Mark A Miller, Cathryn K Shahab","Outbreaks of meningococcal disease have caused devastation worldwide. Effective vaccines have not been used routinely, due to perceived limitations of the duration of effectiveness as well as immunogenicity when administered during infancy. Given the sporadic nature of outbreaks, the optimal use of these vaccines to control both short-term epidemic and endemic meningococcal disease has been the subject of much debate. Seven economic studies on the use of polysaccharide vaccination strategies help to highlight the relevant epidemiological and economic issues surrounding the decisions for their use. Five of these studies were based in Africa, the region where annual incidence rates can be several orders of magnitude greater than the rest of the world. These studies demonstrated that vaccination against meningococcal disease during outbreak situations is suboptimal given the inability to rapidly immunise populations in a timely fashion in resource-poor areas. However, depending on the disease incidence and the ability to deliver vaccines, the polysaccharide vaccine can be cost effective for preventive strategies when given prior to the start of outbreaks, either through presumptive vaccination or through a modified routine delivery strategy. Economic analyses of mass immunisation campaigns and modelled routine vaccination suggest that routine use of meningococcal vaccines for preventive strategies could be within the range of cost-effective public health interventions in those regions of the world where meningococcal disease is endemic. This includes the meningococcal belt of Africa, the Sahelian region.","http://www.ncbi.nlm.nih.gov/pubmed/?term=2344"
"220","Willingness to pay for hypothetical malaria vaccines in rural Burkina Faso.","eng","Sweden","VCV59X7MWR1WEQ73",2005,4,13,"Hygiene Institut, Abteilung für Tropenmedizin und öffentliches Gesundheitswesen, Germany. .","Sauerborn","Rainer","R","Lanzer","Michael","M","Rainer Sauerborn, Adjima Gbangou, Hengjin Dong, Jude M Przyborski, Michael Lanzer","AIMS: This study aims to set priorities for anti-disease malaria vaccines by determining community preference in a hyperendemic area.METHODS: A bidding game technique was used to elucidate willingness to pay in rural Burkina Faso and 2,326 adults were interviewed.RESULTS: It is shown that there are significant differences between community preference for an anti-disease vaccine aimed at reducing pathology in pregnant women, and for a vaccine directed against childhood malaria. While the target population was willing to pay CFAfr 2101 for a vaccine against maternal malaria, its members were prepared to pay only CFAfr 1433 for a vaccine against childhood malaria.CONCLUSIONS: Whilst it is increasingly likely that anti-disease malaria vaccines will become available in the foreseeable future, lessons from the past suggest that a lack of acceptance and support from the intended recipients may lead to less than optimal compliance, and hence efficacy. For the planning of vaccine development and application strategies, it is therefore highly important to take community views into account. Here it is argued that such information could help researchers and funding agencies to set priorities for future vaccine research.","http://www.ncbi.nlm.nih.gov/pubmed/?term=VCV59X7MWR1WEQ73"
"221","Distributing insecticide-treated bednets during measles vaccination: a low-cost means of achieving high and equitable coverage.","eng","Switzerland","S0042-96862005000300012",2005,3,31,"American Red Cross, Washington, DC 20006-5304, USA. grabowskym@usa.redcross.org","Grabowsky","Mark","M","Amofah","George","G","Mark Grabowsky, Theresa Nobiya, Mercy Ahun, Rose Donna, Miata Lengor, Drake Zimmerman, Holly Ladd, Edward Hoekstra, Aliu Bello, Aba Baffoe-Wilmot, George Amofah","OBJECTIVE: To achieve high and equitable coverage of insecticide-treated bednets by integrating their distribution into a measles vaccination campaign.METHODS: In December 2002 in the Lawra district in Ghana, a measles vaccination campaign lasting 1 week targeted all children aged 9 months-15 years. Families with one or more children less than five years old were targeted to receive a free insecticide-treated bednet. The Ghana Health Service, with support from the Ghana Red Cross and UNICEF, provided logistical support, volunteer workers and social mobilization during the campaign. Volunteers visited homes to inform caregivers about the campaign and encourage them to participate. We assessed pre-campaign coverage of bednets by interviewing caregivers leaving vaccination and distribution sites. Five months after distribution, a two-stage cluster survey using population-proportional sampling assessed bednet coverage, retention and use. Both the pre-campaign and post-campaign survey assessed household wealth using an asset inventory.FINDINGS: At the campaign exit interview 636/776 (82.0%) caregivers reported that they had received a home visit by a Red Cross volunteer before the campaign and that 32/776 (4.1%) of the youngest children in each household who were less than 5 years of age slept under an insecticide-treated bednet. Five months after distribution caregivers reported that 204/219 (93.2%) of children aged 9 months to 5 years had been vaccinated during the campaign; 234/248 (94.4%) of households were observed to have an insecticide-treated bednet; and 170/249 (68.3%) were observed to have a net hung over a bed. Altogether 222/248 (89.5%) caregivers reported receiving at least one insecticide-treated bednet during the campaign, and 153/254 (60.2%) said that on the previous night their youngest child had slept under a bednet received during the campaign. For households in the poorest quintile, post-campaign coverage of insecticide-treated bednets was 10 times higher than pre-campaign coverage of households in the wealthiest quintile (46/51 (90.2%) versus 14/156 (9.0%)). The marginal operational cost was 0.32 US dollars per insecticide-treated bednet delivered.CONCLUSION: These findings suggest that linking bednet distribution to measles vaccination campaigns may provide an important opportunity for achieving high and equitable coverage of bednets.","http://www.ncbi.nlm.nih.gov/pubmed/?term=S0042-96862005000300012"
"222","[An innovative approach combining human and animal vaccination campaigns in nomadic settings of Chad: experiences and costs].","fre","France","15771021",2005,3,18,"Centre de Support en Santé Internationale de l'Institut Tropical Suisse, N'Djaména, Tchad. mahamat.bechir@its-cssi.org","Bechir","M","M","Zinsstag","J","J","M Bechir, E Schelling, K Wyss, D M Daugla, S Daoud, M Tanner, J Zinsstag","The purpose of this report is to describe a network of public health care workers, veterinarians and nomadic pastoralists that was set up in Chad to increase vaccination coverage to nomadic children and women who had rarely been vaccinated before. The objectives of the project were to provide human vaccination in conjunction with existing veterinary services, to evaluate the feasibility and limitations of such campaigns, to determine what other services could be provided concurrently, and to estimate the savings for public health care cases in comparison with carrying out vaccination separately. In a series of 12 vaccination campaigns in the Chari-Baguirmi and Kanem districts, more than 2100 children, 2100 women and 52000 cattle were fully immunized. These results confirmed the feasibility of joint campaigns in nomadic settings and provided important experience for improving organization. Information-Education-Communication (IEC) campaigns adapted to the realities of the pastoral setting were an important factor in mobilizing nomadic pastoralists for attendance at vaccination clinics. The savings in logistics costs (i.e., personnel, transportation and cold chain costs excluding vaccine costs) was 15% in Gredaya where 3 out of 6 campaigns were carried out together with veterinarians and 4% in Chaddra/Am Dobak where only 1 out of 6 campaigns was carried out in conjunction with veterinarians. The cost per fully immunized child (FIC) was considerably higher in Chaddra/Am Dobak than Gredaya (EUR 29.2 vs. EUR 11.5). The joint vaccination campaign approach is innovative, appreciated by nomadic pastoralists and less expensive than separate vaccination. By using the mobility of veterinarians in remote zones far from health care facilities, vaccination can be provided to nomadic children and women in countries with limited resources.","http://www.ncbi.nlm.nih.gov/pubmed/?term=15771021"
"223","Recent advances in research and control of malaria, leishmaniasis, trypanosomiasis and schistosomiasis.","eng","Egypt","15748049",2005,3,8,"Department of Infectious and Tropical Diseases, London School of Hygiene and Tropical Medicine, London, United Kingdom.","Croft","S L","SL","Brooker","S","S","S L Croft, L Vivas, S Brooker","In the Eastern Mediterranean Region of the World Health Organization (WHO), malaria, schistosomiasis, leishmaniasis and trypanosomiasis are the parasitic diseases of major importance. Our review focuses on recent advances in the control and treatment of these diseases with particular reference to diagnosis, chemotherapy, vaccines, vector and environmental control. The Roll Back Malaria Programme, for example, emphasizes the use of insecticide treated bednets in Africa and targets a 30-fold increase in treated bednet use by 2007. Increasing risk factors for leishmaniasis include urbanization, extended agricultural projects and civil unrest and the increase in patients with Leishmania infantum and HIV co-infection in the Region may signal a new threat. In the past 20 years, human African trypanosomiasis has resurged in sub-Saharan Africa; within the Region it has become more common in the southern Sudan where anthroponotic and zoonotic sub-species infections overlap. Schistosomiasis in the Region is caused by either Schistosoma haematobium or S. mansoni and large-scale control efforts include providing regular treatment to at-risk groups and supporting drug delivery through schools.","http://www.ncbi.nlm.nih.gov/pubmed/?term=15748049"
"224","Vaccination in the control of bluetongue in endemic regions: the South African experience.","eng","Switzerland","15742661",2005,3,4,"Onderstepoort Biological Products, South Africa. baty@obpvaccines.co.za","Dungu","B","B","Smit","T","T","B Dungu, C Potgieter, B Von Teichman, T Smit","The eradication of bluetongue virus (BTV) from endemic regions of Africa is virtually impossible due to the role played by the widely distributed Culicoides spp. of midge vectors and the ubiquitous distribution of reservoir species. In endemic areas attempts can only be made to limit the occurrence of bluetongue (BT) disease and its economic impact through vaccination. Despite several potential problems (teratogenicity, risk of reassortment and reversion to virulence of the attenuated viral strains), epidemiological and recent molecular data support the fact that the live attenuated vaccine that has been used for decades in enzootic regions, provides a safe and efficacious means to control the disease in regions of southern Africa, as well as other areas of the world.","http://www.ncbi.nlm.nih.gov/pubmed/?term=15742661"
"225","The control of foot-and-mouth disease in Botswana: special reference to vaccination.","eng","Switzerland","15742653",2005,3,4,"Ministry of Agriculture, Department of Animal Health and Production, Veterinary Epidemiology and Economics Section, Gaborone, Botswana. mietshwenyo@gov.bw","Letshwenyo","M","M","Chimbombi","M","M","M Letshwenyo, M Fanikiso, M Chimbombi","Botswana has a history of Foot-and-Mouth Disease (FMD) occurrence and control that dates far back into the 1930s. Conditions in the southern African region are favourable for spiking FMD outbreaks due to Southern African Territories (SAT) serotypes, because of the co-existence of the agent, hosts and a conducive environment. In the past these parameters were less controlled and FMD outbreaks were common in the region, causing tremendous social and economic losses. The inception of conventional FMD vaccines in the region in the 1970s led to a significant improvement in the control of the disease. Vaccination used with other appropriate strategies has been the cornerstone of FMD control strategy in Botswana. FMD vaccine used in Botswana is manufactured locally; it is effective and has been responsible for the elimination of FMD outbreaks since the early eighties. FMD vaccination is a costly exercise. The programme has been sustained for decades because there is political will and financial support from government. However, its economic value can only be determined through a cost-benefit analysis, which is not a subject of this paper. The experience of FMD control in Botswana, with special reference to vaccination, is discussed.","http://www.ncbi.nlm.nih.gov/pubmed/?term=15742653"
"226","Quality of child health services in primary health care facilities in south-east Nigeria.","eng","England","CCH493",2005,2,18,"Department of Maternal &amp; Child Health, School of Public Health, University of Alabama at Birmingham, Birmingham, AL 35294, USA. jehiri@uab.edu","Ehiri","J E","JE","Ikpeme","M B","MB","J E Ehiri, A E Oyo-Ita, E C Anyanwu, M M Meremikwu, M B Ikpeme","BACKGROUND: To assess the quality of child health services in primary health care (PHC) facilities in Calabar, south-east Nigeria.DESIGN: Cross-sectional, descriptive design.METHODS: Key informant interviews, structured observation, self-administered questionnaire and focus group discussion.SETTING: Calabar, south-east Nigeria. Participants All 10 PHC facilities in Calabar, 252 PHC workers serving in the facilities, and 76 mothers whose children received care in the facilities.OUTCOME MEASURES: Adequacy of structure (equipment and personnel); process (diagnosis, training and knowledge, use of national case-management algorithm, and supervision), and output (clients' satisfaction).MAIN RESULTS: PHC facilities were adequately equipped to the extent of providing immunization services and management of diarrhoea but not for other aspects of care expected of a PHC centre, including management of acute respiratory infections (ARI), a common problem in children in the region. Supply of essential drugs was inadequate in all centres and facilities for emergency care were lacking. Many of the health care workers (68.3%) had adequate training in immunization, and their knowledge scores on immunization issues (62%) was higher than in other aspect of PHC. Use of the national case management algorithm was low among PHC workers. Results of the focus group discussions with mothers showed that a few perceived quality of care to be poor. The main concerns were long waiting time, lack of essential drugs, and attitude of the health workers.CONCLUSIONS: Inadequacy in the quality of child health services in PHC facilities is a product of failures in a range of quality measures -- structural (lack of equipment and essential drugs), process failings (non-use of the national case management algorithm and lack of a protocol of systematic supervision of health workers). Efforts to improve the quality of child health services provided by PHC workers in the study setting and similar locales in less developed countries should focus not only on resource-intensive structural improvements, but also on cheap, cost-effective measures that address actual delivery of services (process), especially the proper use of national guidelines for case management, and meaningful supervision.","http://www.ncbi.nlm.nih.gov/pubmed/?term=CCH493"
"227","Vitamin A deficiency and child mortality in Mozambique.","eng","England","15705242",2005,2,12,"UNICEF Regional Office for West and Central Africa, Dakar-Yoff, Senegal. vaguayo@unicef.org","Aguayo","Victor M","VM","Meershoek","Stephan","S","Victor M Aguayo, Sonia Kahn, Carina Ismael, Stephan Meershoek","BACKGROUND: In areas where vitamin A deficiency (VAD) is prevalent, vitamin A repletion reduces child mortality by 23% on average.OBJECTIVES: To estimate the potential child survival benefits of policies and programmes aimed at controlling VAD in Mozambique, and to make policy and programme recommendations.METHODS: The potential contribution of VAD to child mortality in Mozambique was estimated by combining the observed VAD prevalence in the under-5s (71.2%), the measured child mortality effects of VAD (risk of death in children with VAD=1.75 times higher than in children without VAD) and the observed under-5 mortality rate in the country (210 per 1000 live births).RESULTS: In Mozambique, an estimated 2.3 million children below the age of 5 years are vitamin-A-deficient. In the absence of appropriate policy and programme action, VAD will be the attributable cause of over 30,000 deaths annually in the under-5s. This represents 34.8% of all-cause mortality in this age group.DISCUSSION: Vitamin A supplementation (VAS) has been adopted as a short- to medium-term strategy to control VAD in children, and is integrated into routine child health services. However, the last VAS coverage survey showed that only 46% of children received a vitamin A supplement in the 6 months preceding the survey. If VAS coverage is to increase significantly in the foreseeable future, four areas appear to be of paramount importance: (1) reduce missed opportunities for VAS such as visits of sick children to child health services and community outreach activities; (2) take advantage of all potential opportunities for accelerating VAS coverage, such as additional vaccination campaigns and emergency response activities; (3) strengthen health workers' training, supervision and monitoring skills; and (4) increase community demand for VAS of children. Biannual VAS, as the primary component of an integrated strategy for VAD control in children, has the promise to be among the most cost-effective/high-impact child survival interventions in Mozambique.","http://www.ncbi.nlm.nih.gov/pubmed/?term=15705242"
"228","The cost-effectiveness of introducing hepatitis B vaccine into infant immunization services in Mozambique.","eng","England","20/1/50",2005,2,4,"Department of Vaccines and Biologicals, World Health Organization, 20 Avenue Appia, 1211 Geneva 27, Switzerland. Griffithsu@who.int","Griffiths","Ulla K","UK","Das Dores Pascoal","Eva","E","Ulla K Griffiths, Guy Hutton, Eva Das Dores Pascoal","OBJECTIVE: To estimate the cost-effectiveness of introducing hepatitis B vaccine into routine infant immunization services in Mozambique, which took place in the year 2001.METHODS: A decision analytic model was used to estimate the impact of hepatitis B vaccination. This model was developed for the WHO to estimate the global burden of disease from hepatitis B. Cost data of vaccine delivery and medical treatment related to hepatitis B infection were collected for the analysis.FINDINGS: The introduction of hepatitis B vaccine has increased the annual budget for immunization services by approximately 56%. It is predicted that more than 4000 future deaths are averted annually by the intervention. In the base case scenario, the incremental costs per undiscounted deaths averted amount to US$436, and the costs per undiscounted DALY averted amount to US$36. Since the major impact of hepatitis B vaccination will not start to be evident for at least another 40 years (deaths from hepatitis B mainly occur between 40-60 years of age), the cost per DALY averted rises to US$47, when using a discount rate of 3% on health effects. We found that the monovalent hepatitis B vaccine was considerably more cost-effective than the hepatitis B vaccine in combination with DTP.INTERPRETATION: If policy makers value future health benefits equal to current benefits, the cost-effectiveness of infant hepatitis B vaccination is in the range of other primary health care interventions for which similar analysis has been undertaken.","http://www.ncbi.nlm.nih.gov/pubmed/?term=20/1/50"
"229","Costs of a rotavirus vaccine.","eng","United States","307/5709/517",2005,2,1,NA,"Wecker","John","J","Wecker","John","J","John Wecker","","http://www.ncbi.nlm.nih.gov/pubmed/?term=307/5709/517"
"230","A new model for child survival in Africa.","eng","India","15672521",2005,1,28,NA,NA,NA,NA,NA,NA,NA,"NA NA","","http://www.ncbi.nlm.nih.gov/pubmed/?term=15672521"
"231","Health and poverty: a new Marshall plan?","eng","England","S0140673605177952",2005,1,25,NA,NA,NA,NA,NA,NA,NA,"NA NA","","http://www.ncbi.nlm.nih.gov/pubmed/?term=S0140673605177952"
"232","Validation of IgG-sandwich and IgM-capture ELISA for the detection of antibody to Rift Valley fever virus in humans.","eng","Netherlands","S0166-0934(04)00372-6",2005,1,25,"Special Pathogens Unit, National Institute for Communicable Diseases, Sandringham 2131, South Africa. januszp@nicd.ac.za","Paweska","Janusz T","JT","Swanepoel","Robert","R","Janusz T Paweska, Felicity J Burt, Robert Swanepoel","Rift Valley fever (RVF) virus is an important zoonotic and a potential biothreat agent. This paper describes validation of sandwich and capture enzyme-linked immunoassays (ELISA) based on gamma-irradiated antigens for the detection of RVFV-specific IgG and IgM antibody in humans. Validation data sets derived from testing field-collected sera from Africa (n=2400) were dichotomised according to the results of a virus neutralisation test. In addition, sera from laboratory workers immunized with inactivated RVF vaccine (n=93) and serial sera (n=3) from a single RVF case were used. ELISA data were expressed as percentage of high-positive control serum (PP). Cut-off values at 95% accuracy level were optimised using the misclassification cost term option of the two-graph receiver operating characteristics analysis. During the routine use of assays there was no evidence for excessive intra- and inter-plate variations within and between runs of assays. At a cut-off of 13.2 PP the sensitivity of the IgG-sandwich ELISA was 100% and specificity 99.95%, while for the IgM-capture ELISA the values were 96.47 and 99.44%, respectively, at a cut-off of 7.1 PP. Compared to the virus neutralisation test, the IgG-sandwich ELISA was more sensitive in detection of immunological responses in vaccines. Following natural infection class-specific antibodies were detected in serum taken 6 days after onset of symptoms. The results demonstrate that both assays will be useful for early diagnosis of infection, epidemiological surveillance and for monitoring of immune response after vaccination. As highly accurate, robust and safe tests, they have the potential to replace traditional diagnostic methods which are unable to distinguish between different classes of immunoglobulins, and pose health risks necessitating their use being restricted to high containment facilities outside RVF endemic areas.","http://www.ncbi.nlm.nih.gov/pubmed/?term=S0166-0934(04)00372-6"
"233","[The PAL+ program, an incentive concerted action about malaria and associated infectious diseases, for developing countries].","fre","France","15662937",2005,1,25,"Direction de la Recherche, Ministère de la Recherche et des Nouvelles Technologies, 1, rue Descartes, 75231 Paris cedex 05. france.agid@recherche.gouv.fr","Agid","France","F","Agid","France","F","France Agid","The French Ministry in charge of Research has launched a multi-institutional incentive concerted action to assist Southern countries on malaria: the PAL+ program. PAL+ aims at bringing out: 1) conditions to promote novel preventive and therapeutic tools adapted to existing situations in the countries concerned; 2) a contribution to help research teams in Southern countries become competitive. PAL+ plans to strengthen cooperative relationships with developing countries (subsaharian Africa, South East Asia and South American countries). Research programs were oriented towards public health needs in malaria-endemic countries and thus mainly focused on: i) development of new antimalarial drugs and new therapeutical strategies: new targets and new leads for drugs, clinical assays for recognition of malaria and optimization of effective treatment or prophylactic drug dosage; ii) pathophysiology of severe malaria: mechanisms of immunity, biology and genome of host and parasite and research leading to vaccine trials; iii) basic and field research on mosquito genetics and biology which may lead to new prevention and control opportunities; iv) social studies on behaviours and habits around prevention and medication of malaria. The objective is to help Southern countries increase their capacity in clinical research, epidemiology, therapeutics, public health and social science (e.g. behaviours and habits accompanying medicine-taking). This means a true partnership and training adapted to specific needs and based on sound science. Research was therefore largely pursued in the laboratories of Southern countries and PAL+ supported the initiative in different ways by: i) providing easier opportunities for scientists from the North to collaborate with scientists from the South; ii) supporting networks of scientist collaborations. This was achieved by setting up a new type of relationships between scientists, based on a continuous dialogue and on bringing them together in small meetings on thematic discussions, the so-called Ateliers de PAL+. The Ateliers should play a major role in increasing the scientific capacity in developing countries. PAL+ program is a commitment to speed up better understanding of the disease by helping endemic countries contribute to research for their own benefit.","http://www.ncbi.nlm.nih.gov/pubmed/?term=15662937"
"234","UK pledges advance purchases of vaccines.","eng","United States","15645546",2005,1,13,NA,"Brierley","Rob","R","Brierley","Rob","R","Rob Brierley","","http://www.ncbi.nlm.nih.gov/pubmed/?term=15645546"
"235","A magnet for vaccines.","eng","United States","15637942",2005,1,11,NA,"Kremer","Michael","M","Glennerster","Rachel","R","Michael Kremer, Rachel Glennerster","","http://www.ncbi.nlm.nih.gov/pubmed/?term=15637942"
"236","Meningococcal meningitis.","eng","England","15635779",2005,1,8,NA,"Aguado","T","T","Préziosi","M P","MP","T Aguado, E Bertherat, M Djingarey, D Kandolo, M P Kieny, K Kondé, F M LaForce, C B Nelson, W Perea, M P Préziosi","","http://www.ncbi.nlm.nih.gov/pubmed/?term=15635779"
"237","Coverage and costs of childhood immunizations in Cameroon.","eng","Switzerland","15628204",2005,1,5,"Johns Hopkins University, Bloomberg School of Public Health, 615 N. Wolfe Street, Baltimore, MD 21205, USA. hwaters@jhsph.edu","Waters","Hugh R","HR","Burke","Donald S","DS","Hugh R Waters, Leanne Dougherty, Simon-Pierre Tegang, Nhan Tran, Charles Shey Wiysonge, Kanya Long, Nathan D Wolfe, Donald S Burke","OBJECTIVE: To quantify the association between household-level and provider-level determinants and childhood immunization rates in Cameroon while also calculating the cost of childhood immunizations.METHODS: This study uses multilevel regression analysis to calculate these relationships. The 1998 Cameroon Demographic and Health Survey and the 2000 Multiple Indicator Cluster Survey are the main sources of household-level data. These surveys are supplemented by data from a 2002 survey of health facilities conducted in three provinces. At the national level, immunization financing data were collected from the Ministry of Health and donors that support the national Expanded Programme on Immunization.FINDINGS: The 1998 survey found that nationally 37% of children were fully immunized; the 2000 survey found that nationally 34% were fully immunized. These results are strongly correlated with both the mother's level of education and the household's economic status. Multilevel logistic regression shows that maternal education level is a stronger predictor of positive immunization status than is relative economic status. Children of mothers with secondary education or higher education were 3 times more likely to be fully vaccinated than children whose mothers had not completed primary education. At the health-facility level, both having art immunization plan and regular supervisory visits from someone at the health-district level are strongly positively associated with immunization rates. The cost of routine vaccinations for each fully immunized child is 12.73 U.S. dollars when donors' contributions are included but not the costs of immunization campaigns.CONCLUSION: Studies conducted in the 1980s and 1990s found that costs per fully immunized child varied from 2.19 U.S. dollars to 26.59 U.S. dollars (not adjusted for inflation) in a range of low-income and middle-income countries. The relatively low rates of immunization coverage in Cameroon, and the strong influence of the household's socioeconomic status--particularly the mother's level of education--on immunization rates suggest that the effectiveness of the Cameroon programme could be increased by promoting immunization and directing such programmes towards households with limited resources.","http://www.ncbi.nlm.nih.gov/pubmed/?term=15628204"
"238","Theileriosis and the tick control conundrum: a better way forward?","eng","England","S1090-0233(05)00229-7",2006,12,19,NA,"Walker","Alan R","AR","Walker","Alan R","AR","Alan R Walker","","http://www.ncbi.nlm.nih.gov/pubmed/?term=S1090-0233(05)00229-7"
