,title,language,country,id,year,month,day,affiliation,first _author_last_name,first _author_first_name,first _author_initials,last _author_last_name,last _author_first_name,last _author_initials,all_authors,abstract,url,useful,row_number
522,Assessing the cost-effectiveness of measles elimination in Uganda: local impact of a global eradication program.,eng,United States,jir132,2011,6,17,"Pharmaceutical Outcomes Research and Policy Program, Department of Pharmacy, University of Washington, Seattle, WA 98195-7630, USA. babijo@uw.edu",Babigumira,Joseph B,JB,Dabbagh,Alya,A,"Joseph B Babigumira, Ann Levin, Colleen Burgess, Louis P Garrison, Chris T Bauch, Fiona Braka, William B Mbabazi, Juliet O Nabyonga, Emily Simons, Alya Dabbagh","BACKGROUND: Measles control has succeeded worldwide, and many countries have substantially reduced incidence and mortality. This has led to consideration of the feasibility of measles elimination in Uganda within the context of global eradication. Before an elimination program is initiated, it is important to consider its potential economic impact, including its cost-effectiveness.METHODS: Incremental cost-effectiveness ratios (ICERs) were estimated for measles mortality reduction and measles elimination in Uganda. A dynamic age-structured compartmental model of measles transmission was used to simulate scenarios and estimate health outcomes and costs. The main outcome measures were costs, measles cases, measles deaths, disability-adjusted life-years (DALYs), and ICERs measured as cost per DALY averted through either the year 2030 or 2050.RESULTS: Measles elimination by 2020 averted 130,232 measles cases, 3520 measles deaths, and 106,330 DALYs through the year 2030, compared with the next best scenario (95% mortality reduction by 2015), and it was the most cost-effective strategy, with ICERs of $556 per DALY averted (2030 time horizon) and $284 per DALY averted (2050 time horizon).CONCLUSIONS: Measles elimination in Uganda, as part of a global eradication program, is projected to be highly cost-effective and should be considered among the available policy options for dealing with the disease.",http://www.ncbi.nlm.nih.gov/pubmed/?term=jir132,no,105
523,The cost-effectiveness of supplementary immunization activities for measles: a stochastic model for Uganda.,eng,United States,jir131,2011,6,17,"Department of Population, Family, and Reproductive Health, Johns Hopkins Bloomberg School of Public Health, Baltimore, Maryland 21205, USA. dbishai@jhsph.edu",Bishai,David,D,Dabbagh,Alya,A,"David Bishai, Benjamin Johns, Divya Nair, Juliet Nabyonga-Orem, Braka Fiona-Makmot, Emily Simons, Alya Dabbagh","Supplemental Immunization Activities (SIAs) have become an important adjunct to measles control efforts in countries that endeavor to achieve higher levels of population immunity than can be achieved in a growing routine immunization system. Because SIAs are often supported with funds that have alternative uses, decision makers need to know how cost-effective they are compared with other options. This study integrated a dynamic stochastic model of measles transmission in Uganda (2010-2050) with a cost model to compare a strategy of maintaining Uganda's current (2008) levels of the first dose of routine measles-containing vaccine (MCV1) coverage at 68% with SIAs with a strategy using the same levels of MCV1 coverage without SIAs. The stochastic model was fitted with parameters drawn from district-level measles case reports from Uganda, and the cost model was fitted to administrative data from the Ugandan Expanded Program on Immunization and from the literature. A discount rate of 0.03, time horizon of 2010-2050, and a societal perspective on costs were assumed. Costs expressed in US dollars (2010) included vaccination costs, disease treatment costs including lost productivity of mothers, as well as costs of outbreaks and surveillance. The model estimated that adding on triennial SIAs that covered 95% of children aged 12-59 months to a system that achieved routine coverage rates of 68% would have an incremental cost-effectiveness ratio (ICER) of $1.50 ($US 2010) per disability-adjusted life year averted. The ICER was somewhat higher if the discount rate was set at either 0 or 0.06. The addition of SIAs was found to make outbreaks less frequent and lower in magnitude. The benefit was reduced if routine coverage rates were higher. This cost-effectiveness ratio compares favorably to that of other commonly accepted public health interventions in sub-Saharan Africa.",http://www.ncbi.nlm.nih.gov/pubmed/?term=jir131,no,106
525,Product development partnerships hit their stride: lessons from developing a meningitis vaccine for Africa.,eng,United States,30/6/1058,2011,6,10,"Johns Hopkins Bloomberg School of Public Health, Baltimore, Maryland, USA. dbishai@jhsph.edu",Bishai,David M,DM,Thompson,Lindsay,L,"David M Bishai, Claire Champion, Michael E Steele, Lindsay Thompson","The Meningitis Vaccine Project, a so-called product development partnership, developed a new vaccine against bacterial meningitis, an inflammation of brain tissues that causes an estimated 10,000 deaths among African children and young people each year. The vaccine--known as MenAfriVac and specifically targeted for use in low-income countries in Africa--was designed to be made available to governments at a price of fifty cents per dose. The Meningitis Vaccine Project is an example of how product development partnerships have reinvigorated research on vaccines for neglected diseases. These partnerships disperse the multiple tasks of product development across a network of partners that are best suited for each task. The vaccine was rapidly embraced by African health officials, and in its first few weeks on the market, in late 2010, more than nineteen million people in Burkina Faso, Mali, and Niger were vaccinated.",http://www.ncbi.nlm.nih.gov/pubmed/?term=30/6/1058,no,108
526,Eliminating epidemic Group A meningococcal meningitis in Africa through a new vaccine.,eng,United States,30/6/1049,2011,6,10,"Program for Appropriate Technology in Health,in Washington, DC, USA. mlaforce@path.org",LaForce,F Marc,FM,Okwo-Bele,Jean-Marie,JM,"F Marc LaForce, Jean-Marie Okwo-Bele","A new affordable vaccine against Group A meningococcus, the most common cause of large and often fatal African epidemics of meningitis, was introduced in Burkina Faso, Mali, and Niger in 2010. Widespread use of the vaccine throughout much of Africa may prevent more than a million cases of meningitis over the next decade. The new vaccine is expected to be cost-saving when compared to current expenditures on these epidemics; for example, an analysis shows that introducing it in seven highly endemic countries could save $350 million or more over a decade. International donors have already committed funds to support the new vaccine's introduction in Burkina Faso, Niger, and Mali, but an estimated US$400 million is needed to fund mass immunization campaigns in people ages 1-29 over six years in all twenty-five countries of the African meningitis belt. The vaccine's low cost--less than fifty cents per dose--makes it possible for the affected countries themselves to purchase vaccines for future birth cohorts.",http://www.ncbi.nlm.nih.gov/pubmed/?term=30/6/1049,no,109
529,Impact of changing the measles vaccine vial size on Niger's vaccine supply chain: a computational model.,eng,United States,1471-2458-11-425,2011,6,4,"University of Pittsburgh, Pittsburgh, PA, USA.",Assi,Tina-Marie,TM,Lee,Bruce Y,BY,"Tina-Marie Assi, Shawn T Brown, Ali Djibo, Bryan A Norman, Jayant Rajgopal, Joel S Welling, Sheng-I Chen, Rachel R Bailey, Souleymane Kone, Hailu Kenea, Diana L Connor, Angela R Wateska, Anirban Jana, Stephen R Wisniewski, Willem G Van Panhuis, Donald S Burke, Bruce Y Lee","BACKGROUND: Many countries, such as Niger, are considering changing their vaccine vial size presentation and may want to evaluate the subsequent impact on their supply chains, the series of steps required to get vaccines from their manufacturers to patients. The measles vaccine is particularly important in Niger, a country prone to measles outbreaks.METHODS: We developed a detailed discrete event simulation model of the vaccine supply chain representing every vaccine, storage location, refrigerator, freezer, and transport device (e.g., cold trucks, 4 × 4 trucks, and vaccine carriers) in the Niger Expanded Programme on Immunization (EPI). Experiments simulated the impact of replacing the 10-dose measles vial size with 5-dose, 2-dose and 1-dose vial sizes.RESULTS: Switching from the 10-dose to the 5-dose, 2-dose and 1-dose vial sizes decreased the average availability of EPI vaccines for arriving patients from 83% to 82%, 81% and 78%, respectively for a 100% target population size. The switches also changed transport vehicle's utilization from a mean of 58% (range: 4-164%) to means of 59% (range: 4-164%), 62% (range: 4-175%), and 67% (range: 5-192%), respectively, between the regional and district stores, and from a mean of 160% (range: 83-300%) to means of 161% (range: 82-322%), 175% (range: 78-344%), and 198% (range: 88-402%), respectively, between the district to integrated health centres (IHC). The switch also changed district level storage utilization from a mean of 65% to means of 64%, 66% and 68% (range for all scenarios: 3-100%). Finally, accounting for vaccine administration, wastage, and disposal, replacing the 10-dose vial with the 5 or 1-dose vials would increase the cost per immunized patient from $0.47US to $0.71US and $1.26US, respectively.CONCLUSIONS: The switch from the 10-dose measles vaccines to smaller vial sizes could overwhelm the capacities of many storage facilities and transport vehicles as well as increase the cost per vaccinated child.",http://www.ncbi.nlm.nih.gov/pubmed/?term=1471-2458-11-425,no,110
550,Cost-effectiveness of novel vaccines for tuberculosis control: a decision analysis study.,eng,Canada,1471-2458-11-55,2011,1,29,"Respiratory Epidemiology and Clinical Research Unit, Montreal Chest Institute, Montreal, Canada.",Tseng,Chia-Lin,CL,Schwartzman,Kevin,K,"Chia-Lin Tseng, Olivia Oxlade, Dick Menzies, Anne Aspler, Kevin Schwartzman","BACKGROUND: The development of a successful new tuberculosis (TB) vaccine would circumvent many limitations of current diagnostic and treatment practices. However, vaccine development is complex and costly. We aimed to assess the potential cost effectiveness of novel vaccines for TB control in a sub-Saharan African country--Zambia--relative to the existing strategy of directly observed treatment, short course (DOTS) and current level of bacille Calmette-Guérin (BCG) vaccination coverage.METHODS: We conducted a decision analysis model-based simulation from the societal perspective, with a 3% discount rate and all costs expressed in 2007 US dollars. Health outcomes and costs were projected over a 30-year period, for persons born in Zambia (population 11,478,000 in 2005) in year 1. Initial development costs for single vaccination and prime-boost strategies were prorated to the Zambian share (0.398%) of global BCG vaccine coverage for newborns. Main outcome measures were TB-related morbidity, mortality, and costs over a range of potential scenarios for vaccine efficacy.RESULTS: Relative to the status quo strategy, a BCG replacement vaccine administered at birth, with 70% efficacy in preventing rapid progression to TB disease after initial infection, is estimated to avert 932 TB cases and 422 TB-related deaths (prevention of 199 cases/100,000 vaccinated, and 90 deaths/100,000 vaccinated). This would result in estimated net savings of $3.6 million over 30 years for 468,073 Zambians born in year 1 of the simulation. The addition of a booster at age 10 results in estimated savings of $5.6 million compared to the status quo, averting 1,863 TB cases and 1,011 TB-related deaths (prevention of 398 cases/100,000 vaccinated, and of 216 deaths/100,000 vaccinated). With vaccination at birth alone, net savings would be realized within 1 year, whereas the prime-boost strategy would require an additional 5 years to realize savings, reflecting a greater initial development cost.CONCLUSIONS: Investment in an improved TB vaccine is predicted to result in considerable cost savings, as well as a reduction in TB morbidity and TB-related mortality, when added to existing control strategies. For a vaccine with waning efficacy, a prime-boost strategy is more cost-effective in the long term.",http://www.ncbi.nlm.nih.gov/pubmed/?term=1471-2458-11-55,no,111
553,Projected health benefits and costs of pneumococcal and rotavirus vaccination in Uganda.,eng,Netherlands,S0264-410X(11)00003-X,2011,1,19,"Centers for Disease Control and Prevention, 1600 Clifton Rd. NE, MS-A47, Atlanta, GA 30333, USA. jqt8@cdc.gov",Tate,Jacqueline E,JE,Braka,Fiona,F,"Jacqueline E Tate, Annet Kisakye, Prosper Mugyenyi, Diana Kizza, Amos Odiit, Fiona Braka","We determined impact and cost-effectiveness of pneumococcal and rotavirus vaccination programs among children&lt;5 years of age in Uganda from the public health system perspective. Disease-specific models compared the disease burden and cost with and without a vaccination program. If introduced, pneumococcal and rotavirus vaccine programs will save 10,796 and 5265 lives, respectively, prevent 94,071 Streptococcus pneumoniae and 94,729 rotavirus cases in children&lt;5 years, and save 3886 and 996 million Ugandan shillings ($2.3 and $0.6 million US dollars), respectively, in direct medical costs annually. At the GAVI price ($0.15/dose), pneumococcal vaccine will be cost-saving and rotavirus vaccine highly cost-effective.",http://www.ncbi.nlm.nih.gov/pubmed/?term=S0264-410X(11)00003-X,no,112
565,Comparative cost models of a liquid nitrogen vapor phase (LNVP) cold chain-distributed cryopreserved malaria vaccine vs. a conventional vaccine.,eng,United States,S0264-410X(12)01584-8,2012,11,14,"Department of International Health, Johns Hopkins School of Public Health, Baltimore, MD 21205, USA. crgarcia@jhsph.edu",Garcia,Cristina Reyes,CR,James,Eric R,ER,"Cristina Reyes Garcia, Fatuma Manzi, Fabrizio Tediosi, Stephen L Hoffman, Eric R James","Typically, vaccines distributed through the Expanded Program on Immunization (EPI) use a 2-8°C cold chain with 4-5 stops. The PfSPZ Vaccine comprises whole live-attenuated cryopreserved sporozoites stored in liquid nitrogen (LN(2)) vapor phase (LNVP) below -140°C and would be distributed through a LNVP cold chain. The purpose of this study was to model LNVP cold chain distribution for the cryopreserved PfSPZ Vaccine in Tanzania, estimate the costs and compare these costs to those that would be incurred in distributing a 'conventional' malaria vaccine through the EPI. Capital and recurrent costs for storage, transportation, labor, energy usage and facilities were determined for the birth cohort in Tanzania over five years. Costs were calculated using WHO/UNESCO calculators. These were applied to a 2-8°C distribution model with national, regional, district, and health facility levels, and for the cryopreserved vaccine using a 'modified hub-and-spoke' (MH-S) LNVP distribution system comprising a central national store, peripheral health facilities and an intermediate district-level transhipment stop. Estimated costs per fully immunized child (FIC) were $ 6.11 for the LNVP-distributed cryopreserved vaccine where the LN(2) is generated, and $ 6.04 with purchased LN(2) (assuming US $ 1.00/L). The FIC costs for distributing a conventional vaccine using the four level 2-8°C cold chain were $ 6.10, and with a tariff distribution system as occurs in Tanzania the FIC cost was $ 5.53. The models, therefore, predicted little difference in 5-year distribution costs between the PfSPZ Vaccine distributed through a MH-S LNVP cold chain and a conventional vaccine distributed through the more traditional EPI system. A LNVP cold chain provides additional benefits through the use of durable dry shippers because no refrigerators, freezers or refrigerated trucks are required. Thus strain at the cold chain periphery, vaccine wastage from cold chain failures and the environmental impact of distribution would all be reduced.",http://www.ncbi.nlm.nih.gov/pubmed/?term=S0264-410X(12)01584-8,no,113
566,A case study using the United Republic of Tanzania: costing nationwide HPV vaccine delivery using the WHO Cervical Cancer Prevention and Control Costing Tool.,eng,England,1741-7015-10-136,2012,11,14,"Immunization, Vaccines and Biologicals (IVB) Department, World Health Organization (WHO), 20 Avenue Appia, 1211, Geneva 27, Switzerland. hutubessyr@who.int",Hutubessy,Raymond,R,Broutet,Nathalie,N,"Raymond Hutubessy, Ann Levin, Susan Wang, Winthrop Morgan, Mariam Ally, Theopista John, Nathalie Broutet","BACKGROUND: The purpose, methods, data sources and assumptions behind the World Health Organization (WHO) Cervical Cancer Prevention and Control Costing (C4P) tool that was developed to assist low- and middle-income countries (LMICs) with planning and costing their nationwide human papillomavirus (HPV) vaccination program are presented. Tanzania is presented as a case study where the WHO C4P tool was used to cost and plan the roll-out of HPV vaccines nationwide as part of the national comprehensive cervical cancer prevention and control strategy.METHODS: The WHO C4P tool focuses on estimating the incremental costs to the health system of vaccinating adolescent girls through school-, health facility- and/or outreach-based strategies. No costs to the user (school girls, parents or caregivers) are included. Both financial (or costs to the Ministry of Health) and economic costs are estimated. The cost components for service delivery include training, vaccination (health personnel time and transport, stationery for tally sheets and vaccination cards, and so on), social mobilization/IEC (information, education and communication), supervision, and monitoring and evaluation (M&amp;E). The costs of all the resources used for HPV vaccination are totaled and shown with and without the estimated cost of the vaccine. The total cost is also divided by the number of doses administered and number of fully immunized girls (FIGs) to estimate the cost per dose and cost per FIG.RESULTS: Over five years (2011 to 2015), the cost of establishing an HPV vaccine program that delivers three doses of vaccine to girls at schools via phased national introduction (three regions in year 1, ten regions in year 2 and all 26 regions in years 3 to 5) in Tanzania is estimated to be US$9.2 million (excluding vaccine costs) and US$31.5 million (with vaccine) assuming a vaccine price of US$5 (GAVI 2011, formerly the Global Alliance for Vaccines and Immunizations). This is equivalent to a financial cost of US$5.77 per FIG, excluding the vaccine cost. The most important costs of service delivery are social mobilization/IEC and service delivery operational costs.CONCLUSIONS: When countries expand their immunization schedules with new vaccines such as the HPV vaccine, they face initial costs to fund critical pre-introduction activities, as well as incremental system costs to deliver the vaccines on an ongoing basis. In anticipation, governments need to plan ahead for non-vaccine costs so they will be financed adequately. Existing human resources need to be re-allocated or new staff need to be recruited for the program to be implemented successfully in a sustainable and long-term manner.Reaching a target group not routinely served by national immunization programs previously with three doses of vaccine requires new delivery strategies, more transport of vaccines and health workers and more intensive IEC activities leading to new delivery costs for the immunization program that are greater than the costs incurred when a new infant vaccine is added to the existing infant immunization schedule. The WHO C4P tool is intended to help LMICs to plan ahead and estimate the programmatic and operational costs of HPV vaccination.",http://www.ncbi.nlm.nih.gov/pubmed/?term=1741-7015-10-136,no,114
571,A cost effectiveness and capacity analysis for the introduction of universal rotavirus vaccination in Kenya: comparison between Rotarix and RotaTeq vaccines.,eng,United Kingdom,10.1371/journal.pone.0047511,2012,11,2,"Immunisation, Hepatitis and Blood Safety Department, Health Protection Agency, London, United Kingdom.",van Hoek,Albert Jan,AJ,Nokes,D James,DJ,"Albert Jan van Hoek, Mwanajuma Ngama, Amina Ismail, Jane Chuma, Samuel Cheburet, David Mutonga, Tatu Kamau, D James Nokes","BACKGROUND: Diarrhoea is an important cause of death in the developing world, and rotavirus is the single most important cause of diarrhoea associated mortality. Two vaccines (Rotarix and RotaTeq) are available to prevent rotavirus disease. This analysis was undertaken to aid the decision in Kenya as to which vaccine to choose when introducing rotavirus vaccination.METHODS: Cost-effectiveness modelling, using national and sentinel surveillance data, and an impact assessment on the cold chain.RESULTS: The median estimated incidence of rotavirus disease in Kenya was 3015 outpatient visits, 279 hospitalisations and 65 deaths per 100,000 children under five years of age per year. Cumulated over the first five years of life vaccination was predicted to prevent 34% of the outpatient visits, 31% of the hospitalizations and 42% of the deaths. The estimated prevented costs accumulated over five years totalled US$1,782,761 (direct and indirect costs) with an associated 48,585 DALYs. From a societal perspective Rotarix had a cost-effectiveness ratio of US$142 per DALY (US$5 for the full course of two doses) and RotaTeq US$288 per DALY ($10.5 for the full course of three doses). RotaTeq will have a bigger impact on the cold chain compared to Rotarix.CONCLUSION: Vaccination against rotavirus disease is cost-effective for Kenya irrespective of the vaccine. Of the two vaccines Rotarix was the preferred choice due to a better cost-effectiveness ratio, the presence of a vaccine vial monitor, the requirement of fewer doses and less storage space, and proven thermo-stability.",http://www.ncbi.nlm.nih.gov/pubmed/?term=10.1371/journal.pone.0047511,no,115
575,"Costs of illness due to cholera, costs of immunization and cost-effectiveness of an oral cholera mass vaccination campaign in Zanzibar.",eng,United States,10.1371/journal.pntd.0001844,2012,10,12,"Department of Epidemiology and Public Health, Swiss Tropical and Public Health Institute, Basel, Switzerland.",Schaetti,Christian,C,Hutubessy,Raymond,R,"Christian Schaetti, Mitchell G Weiss, Said M Ali, Claire-Lise Chaignat, Ahmed M Khatib, Rita Reyburn, Radboud J Duintjer Tebbens, Raymond Hutubessy","BACKGROUND: The World Health Organization (WHO) recommends oral cholera vaccines (OCVs) as a supplementary tool to conventional prevention of cholera. Dukoral, a killed whole-cell two-dose OCV, was used in a mass vaccination campaign in 2009 in Zanzibar. Public and private costs of illness (COI) due to endemic cholera and costs of the mass vaccination campaign were estimated to assess the cost-effectiveness of OCV for this particular campaign from both the health care provider and the societal perspective.PRINCIPAL FINDINGS: Public and private COI were obtained from interviews with local experts, with patients from three outbreaks and from reports and record review. Cost data for the vaccination campaign were collected based on actual expenditure and planned budget data. A static cohort of 50,000 individuals was examined, including herd protection. Primary outcome measures were incremental cost-effectiveness ratios (ICER) per death, per case and per disability-adjusted life-year (DALY) averted. One-way sensitivity and threshold analyses were conducted. The ICER was evaluated with regard to WHO criteria for cost-effectiveness. Base-case ICERs were USD 750,000 per death averted, USD 6,000 per case averted and USD 30,000 per DALY averted, without differences between the health care provider and the societal perspective. Threshold analyses using Shanchol and assuming high incidence and case-fatality rate indicated that the purchase price per course would have to be as low as USD 1.2 to render the mass vaccination campaign cost-effective from a health care provider perspective (societal perspective: USD 1.3).SIGNIFICANCE: Based on empirical and site-specific cost and effectiveness data from Zanzibar, the 2009 mass vaccination campaign was cost-ineffective mainly due to the relatively high OCV purchase price and a relatively low incidence. However, mass vaccination campaigns in Zanzibar to control endemic cholera may meet criteria for cost-effectiveness under certain circumstances, especially in high-incidence areas and at OCV prices below USD 1.3.",http://www.ncbi.nlm.nih.gov/pubmed/?term=10.1371/journal.pntd.0001844,no,116
582,"Effectiveness of vaccines and vaccination programs for the control of foot-and-mouth disease in Uganda, 2001-2010.",eng,United States,10.1007/s11250-012-0254-6,2012,9,8,"Veterinary and Microbiological Sciences Department, North Dakota State University, Fargo, ND, USA. mmuleme@gmail.com",Muleme,Michael,M,Ayebazibwe,Chrisostom,C,"Michael Muleme, Robert Barigye, Margaret L Khaitsa, Eugene Berry, Anthony W Wamono, Chrisostom Ayebazibwe","Foot-and-mouth disease (FMD) is a highly contagious disease of cloven-hoofed animals. In Uganda, FMD outbreaks are mainly controlled by ring vaccination and restriction of animal movements. Vaccination stimulates immunity and prevents animals from developing clinical signs which include lameness, inappetence, and decreased production. Ring vaccination and restriction of animal movements have, however, not successfully controlled FMD in Uganda and outbreaks reoccur annually. The objective of this study was to review the use of FMD virus (FMDV) vaccines and assess the effectiveness of vaccination programs for controlling FMD in Uganda (2001-2010), using retrospective data. FMD vaccine distribution patterns in Uganda (2001-2010) matched occurrence of outbreaks with districts reporting the highest number of outbreaks also receiving the largest quantity of vaccines. This was possibly due to &quot;fire brigade&quot; response of vaccinating animals after outbreaks have been reported. On average, only 10.3 % of cattle within districts that reported outbreaks during the study period were vaccinated. The average minimum time between onset of outbreaks and vaccination was 7.5 weeks, while the annual cost of FMDV vaccines used ranged from US $58,000 to 1,088,820. Between 2001 and 2010, serotyping of FMD virus was done in only 9/121 FMD outbreaks, and there is no evidence that vaccine matching or vaccine potency tests have been done in Uganda. The probability of FMDV vaccine and outbreak mismatch, the delayed response to outbreaks through vaccination, and the high costs associated with importation of FMDV vaccines could be reduced if virus serotyping and subtyping as well as vaccine matching were regularly done, and the results were considered for vaccine manufacture.",http://www.ncbi.nlm.nih.gov/pubmed/?term=10.1007/s11250-012-0254-6,no,117
596,Cost-effectiveness analysis of an additional birth dose of Hepatitis B vaccine to prevent perinatal transmission in a medical setting in Mozambique.,eng,Netherlands,S0264-410X(12)01173-5,2012,8,21,"London School of Economics and Political Science, London WC2A 2AE, United Kingdom. Corinna.Klingler@med.uni-muenchen.de",Klingler,Corinna,C,Mrithinjayam,Vinod S,VS,"Corinna Klingler, Andrea I Thoumi, Vinod S Mrithinjayam","This study is the first to assess the cost-effectiveness of an additional birth dose of Hepatitis B (HBV) vaccine administered by professional birth attendants in medical settings in a sub-Saharan country (Mozambique). The WHO has recommended the birth dose to prevent perinatal transmission of HBV. A Markov model was constructed to analyse the costs and effects associated with avoiding perinatal transmission of HBV through a birth dose vaccination in addition to the existing vaccination schedule in Mozambique. The comparator intervention is the existing vaccination schedule administered at 6-10-14 weeks. The analysis was conducted for the birth cohort of 2008. As the context is a low-income setting our main outcome measure was disability-adjusted life years (DALYs) averted. Transition probabilities, costs and effects were estimated based on a thorough literature review. One- to three-way sensitivity analyses were conducted to account for uncertainty in the data. We found an incremental cost-effectiveness ratio (ICER) for the additional birth dose of 250.95 US$ per DALY averted. Assuming a willingness-to-pay threshold of 441 US$, which was the GDP per capita for Mozambique in 2008, the findings show the additional birth dose to be highly cost-effective. However, one-way sensitivity analysis reveals that the outcome changes with parameter variation. To give unambiguous recommendations on introducing the birth dose in Mozambique, more information on the parameters that render the birth dose cost-ineffective in sensitivity analysis is needed. Those parameters are 'vaccine effectiveness', 'prevalence of HBV among mothers', 'the transition probability from chronic HBV to liver cancer' and 'the risk of perinatal transmission for mothers negative for the Hepatitis B &quot;e&quot; antigen (HBeAg)'. Parameter variation (one-way) showed the ICER to lie between 72 US$/DALY averted and 683 US$/DALY averted.",http://www.ncbi.nlm.nih.gov/pubmed/?term=S0264-410X(12)01173-5,no,119
609,Preventative childhood vaccination to rabies.,eng,England,10.1517/14712598.2012.691162,2012,6,26,"The Wistar Institute, 3601 Spruce Street, Philadelphia, PA 19104, USA.",Liu,Qin,Q,Ertl,Hildegund C J,HC,"Qin Liu, Hildegund C J Ertl","INTRODUCTION: Rabies is prevented by post-exposure vaccination with several doses of vaccine given over 4 - 14 weeks. In case of severe exposure, the first dose of vaccine is combined with passive transfer of a rabies virus-specific immunoglobulin preparation. Preventative vaccination for rabies, also referred as pre-exposure vaccination, is reserved for humans at high risk. Although available vaccines are efficacious in preventing disease, rabies still claims the lives of an estimated 55,000 humans residing in Africa and Asia each year. Half of the death occurs in children under the age of 15.AREAS COVERED: This paper discusses whether preventative vaccination of all children in Africa and Asia, which was deemed non-cost-effective compared to post-exposure vaccination using currently licensed vaccines in Thailand, could be cost-effective using more immunogenic novel vaccines.EXPERT OPINION: At least in theory, novel one-dose rabies vaccines may be cost-effective for preventative childhood immunization, which in turn should reduce the incidence of this disease. Further clinical testing of such vaccines with the goal to develop a low-cost vaccine that can be incorporated into childhood immunization programs for areas with a high incidence of rabies-related death should be strongly encouraged.",http://www.ncbi.nlm.nih.gov/pubmed/?term=10.1517/14712598.2012.691162,no,120
637,Cost effectiveness of strategies to combat chronic obstructive pulmonary disease and asthma in sub-Saharan Africa and South East Asia: mathematical modelling study.,eng,England,22389338,2012,3,6,"World Bank, Washington, DC, USA. astanciole@worldbank.org",Stanciole,Anderson E,AE,Lauer,Jeremy A,JA,"Anderson E Stanciole, Mónica Ortegón, Dan Chisholm, Jeremy A Lauer","OBJECTIVES: To determine the population level costs, effects, and cost effectiveness of selected, individual based interventions to combat chronic obstructive pulmonary disease (COPD) and asthma in the context of low and middle income countries.DESIGN: Sectoral cost effectiveness analysis using a lifetime population model.SETTING: Two World Health Organization sub-regions of the world: countries in sub-Saharan Africa with very high adult and high child mortality (AfrE); and countries in South East Asia with high adult and high child mortality (SearD).DATA SOURCES: Disease rates and profiles were taken from the WHO Global Burden of Disease study; estimates of intervention effects and resource needs were drawn from clinical trials, observational studies, and treatment guidelines. Unit costs were taken from a WHO price database.MAIN OUTCOME MEASURES: Cost per disability adjusted life year (DALY) averted, expressed in international dollars ($Int) for the year 2005.RESULTS: In both regions low dose inhaled corticosteroids for mild persistent asthma was considered the most cost effective intervention, with average cost per DALY averted about $Int2500. The next best value strategies were influenza vaccine for COPD in Sear-D (incremental cost $Int4950 per DALY averted) and low dose inhaled corticosteroids plus long acting β agonists for moderate persistent asthma in Afr-E (incremental cost $Int9112 per DALY averted).CONCLUSIONS: COPD is irreversible and progressive, and current treatment options produce relatively little gains relative to the cost. The treatment options available for asthma, however, generally decrease chronic respiratory disease burden at a relatively low cost.",http://www.ncbi.nlm.nih.gov/pubmed/?term=22389338,no,121
640,[Cost-effectiveness of public health practices: a literature review of public health interventions from the Mesoamerican Health Initiative].,spa,Mexico,S0036-36342011000900011,2012,3,1,"Instituto Nacional de Salud Pública, Cuernavaca, Morelos, México.",Valencia-Mendoza,Atanacio,A,Aracena-Genao,Belkis,B,"Atanacio Valencia-Mendoza, Laura G Danese-dlSantos, Sandra G Sosa-Rubí, Belkis Aracena-Genao","OBJECTIVE: Present and analyze cost-effectiveness information of public health interventions proposed by the Mesoamerican Health Initiative in child nutrition, vaccination, malaria, dengue, and maternal, neonatal, and reproductive health.MATERIAL AND METHODS: A systematic literature review was conducted on cost-effectiveness studies published between January 2000 and August 2009 on interventions related to the health areas previously mentioned. Studies were included if they measured effectiveness in terms of Disability-Adjusted Life Year (DALY) or death averted.RESULTS: Child nutrition and maternal and neonatal health interventions were found to be highly cost-effective (most of them below US$200 per DALY averted for nutritional interventions and US$100 for maternal and neonatal health). For dengue, information on cost-effectiveness was found just for application of larvicides, which resulted in a cost per DALY averted ranking from US$40.79 to US$345.06. Malarial interventions were found to be cost-effective (below US$150 per DALY averted or US$4,000 per death averted within Africa). In the case of pneumococcus and rotavirus vaccination, cost-effectiveness estimates were always above one GDP per capita per DALY averted.CONCLUSIONS: In Mesoamerica there are still important challenges in child nutrition, vaccination, malaria, dengue and maternal, neonatal, and reproductive health, challenges that could be addressed by scaling-up technically feasible and cost-effective interventions.",http://www.ncbi.nlm.nih.gov/pubmed/?term=S0036-36342011000900011,no,122
